id,author,chapter,class_name,creation_time_stamp,edit_time_stamp,folder,question_text,subject
11228,ncert12maths,Relations and Functions,12,16-08-2021 4.26,16-08-2021 4.26,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>&nbsp;be the set of natural numbers and the function&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>n</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mi>n</mi>&nbsp;<mo>+</mo>&nbsp;<mn>3</mn>&nbsp;<mi mathvariant=""normal"">∀</mi>&nbsp;<mi>n</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;</math>&nbsp;is</p>",
11229,ncert12maths,Relations and Functions,12,16-08-2021 4.26,16-08-2021 4.26,NCERT Exemplar,"<p>Set&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow></math>&nbsp;has 3 elements and the set&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math>&nbsp;has 4 elements. Then the number of injective mappings that can be defined from&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow></math>to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math>is</p>",
11230,ncert12maths,Relations and Functions,12,16-08-2021 4.26,16-08-2021 4.26,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>4</mn>&nbsp;<mo>.</mo>&nbsp;</math>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>f</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>&nbsp;is given by</p>",
11231,ncert12maths,Relations and Functions,12,16-08-2021 4.26,16-08-2021 4.26,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;be a relation on the set&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>&nbsp;of natural numbers defined by nRm if&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>n</mi>&nbsp;</math>&nbsp;divides&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>m</mi>&nbsp;<mo>.</mo>&nbsp;</math>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
11232,ncert12maths,Relations and Functions,12,16-08-2021 4.29,16-08-2021 4.29,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>&nbsp;be the set of natural numbers and the function&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>n</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mi>n</mi>&nbsp;<mo>+</mo>&nbsp;<mn>3</mn>&nbsp;<mi mathvariant=""normal"">∀</mi>&nbsp;<mi>n</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""bold"">N</mi>&nbsp;</mrow></math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;</math>&nbsp;is</p>",
11233,ncert12maths,Relations and Functions,12,16-08-2021 4.29,16-08-2021 4.29,NCERT Exemplar,"<p>&nbsp;Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>L</mi>&nbsp;</math>&nbsp;denote the set of all straight lines in a plane. Let a relation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>R</mi>&nbsp;</math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>I</mi>&nbsp;<mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow><mi>m</mi>&nbsp;</math>&nbsp;if and only if&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>l</mi>&nbsp;</math>is perpendicular to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>m</mi>&nbsp;<mi mathvariant=""normal"">∀</mi>&nbsp;<mi>l</mi>&nbsp;<mo>,</mo>&nbsp;<mi>m</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""normal"">L</mi>&nbsp;</mrow></math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
11234,ncert12maths,Relations and Functions,12,16-08-2021 4.29,16-08-2021 4.29,NCERT Exemplar,"<p>&nbsp;Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>1</mn>&nbsp;</math>. Then, pre-images of 17 and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>−</mo>&nbsp;<mn>3</mn>&nbsp;</math>, respectively, are</p>",
11235,ncert12maths,Relations and Functions,12,16-08-2021 4.29,16-08-2021 4.29,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>4</mn>&nbsp;<mo>.</mo>&nbsp;</math>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>f</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>&nbsp;is given by</p>",
11236,ncert12maths,Relations and Functions,12,16-08-2021 4.29,16-08-2021 4.29,NCERT Exemplar,"<p>Set&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow></math>&nbsp;has 3 elements and the set&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math>&nbsp;has 4 elements. Then the number of injective mappings that can be defined from&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow></math>to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math>is</p>",
11237,ncert12maths,Relations and Functions,12,16-08-2021 4.36,16-08-2021 4.36,NCERT Exemplar,"<p>Consider the non-empty set consisting of children in a family and a relation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;defined as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow><mi>b</mi>&nbsp;</math>&nbsp;if&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;</math>&nbsp;is brother of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi>&nbsp;</math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
11238,ncert12maths,Relations and Functions,12,16-08-2021 4.36,16-08-2021 4.36,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">T</mi>&nbsp;</mrow></math>&nbsp;be the set of all triangles in the Euclidean plane, and let a relation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;on&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">T</mi>&nbsp;</mrow></math>&nbsp;be defined as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow><mi>b</mi>&nbsp;</math>&nbsp;if&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;</math>&nbsp;is congruent to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi>&nbsp;<mi mathvariant=""normal"">∀</mi>&nbsp;<mi>a</mi>&nbsp;<mo>,</mo>&nbsp;<mi>b</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""normal"">T</mi>&nbsp;</mrow></math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
